,Id,Score,ViewCount,Body,Title,AnswerCount,CommentCount,AcceptedAnswerId,OwnerUserId,CreationDate,Tags,ClosedDate,label,length
0,4356273.0,-6.0,6753.0,"<p>Brief blurb,</p>&#xA;&#xA;<p>My skill in .net has been called ""innovative"" but I would prefer it be exemplary.  Basically, I need a mentor.  I own the domain name codeologist.com and I am going to live up to that name but in order to do so I need a mentor &amp; community.  </p>&#xA;&#xA;<p>On to the questions:</p>&#xA;&#xA;<ol>&#xA;<li><p>Entity Framework - I'd imagine this is an intense framework mapping objects from a factory while retaining the integrity and state of objects within the system.  At least, that's what I can intuit from about 15 minutes of a podcast I listened to.  RTFM I know but is that a correct general assessment? </p></li>&#xA;<li><p>Enterprise Library - Killer.  Used most blocks at least as example applications.</p></li>&#xA;<li><p>Domain Driven Design - What are some tricks to going from thinking like an ERD/ORM to domain driven design?  Pros vs. Cons?</p></li>&#xA;<li><p>Agile vs. SCRUM - Is there a difference really?  </p></li>&#xA;<li><p>Unit testing - The last thing I think of.  Can't get automated web ui testing setup correctly also need help with NAnt/MSBuild scripts from a VSS 2005 repository.  A full example in source would be really nice, perhaps including scheduling.</p></li>&#xA;<li><p>Bare essential TSQL - What is considered the bare minimum professional grade TSQL statements for enterprise development?  Like ROWCOUNT, TRANSACTION, ROLLBACK, flow control statements, in-line sql &amp; security concerns for CRUD methods.</p></li>&#xA;<li><p>It is conceivable to integrate MVC2/3, Entity Framework, Enterprise Library and SilverLight web front ends?  Even perhaps Sharepoint?</p></li>&#xA;<li><p>I asked a guy I met once when should I use Linq, his reply was ""always use the force"".  </p></li>&#xA;<li><p>When learning a new language what games/apps do you write?  What are some good exercises for those about to code?  (We salute you!)</p></li>&#xA;<li><p>What books would you recommend for general programming theory, enterprise architecture &amp; business analysis?</p></li>&#xA;</ol>&#xA;&#xA;<p>Ok probably no one will respond but these are burning questions I've had in my gut and I just had to get all that out.  </p>&#xA;&#xA;<p>Geek For Life.</p>&#xA;",General Questions about Entity Framework vs. Enterprise Library & a few others,2.0,3.0,4356536.0,210840.0,2010-12-04 22:52:52,<entity-framework><c#-4.0><agile><enterprise-library>,,-1.0,2220.0
1,4828307.0,-7.0,223.0,"<p>I'm doing a ""stress test"", I need to know how long it takes to do recursive operations in iPhone / iPad.</p>&#xA;&#xA;<p>For example:</p>&#xA;&#xA;<pre><code>//""key"" is defined in header.&#xA;&#xA;for(int a=0;a&lt;200;a++){&#xA;    for(int g=0;g&lt;200;g++){&#xA;&#xA; key = @""hi"";&#xA;&#xA;    }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>Do this value assignment (40.000 times) takes 6ms in iPad. But, if I do that:</p>&#xA;&#xA;<pre><code>for(int a=0;a&lt;200;a++){&#xA;    for(int g=0;g&lt;200;g++){&#xA;&#xA; key = [NSString stringWithFormat:@""%i,%i"",a,g]; &#xA;&#xA;    }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>It takes almost 1 second!! For my application, I need to do this assignment more faster than this, someone knows another way to do?</p>&#xA;",Is there a way to speed up this Objective-C string assignment?,1.0,10.0,4828495.0,593830.0,2011-01-28 12:40:00,<iphone><objective-c>,,-1.0,750.0
2,5382972.0,-6.0,868.0,"<p>I am a TA for a programming class. There is one assignment in which the students have to write Scala. I am not proficient enough in Scala to read it quickly to verify that the program works or capable of quickly writing a script in Scala to run test inputs. </p>&#xA;&#xA;<p>However, I am very capable in Java. I need some advice on a simple way to grade Scala assignments using my knowledge of Java. Is there a way to load in a Scala file into Java so I could have some simple Java methods to run test inputs for their programs? I am aware of the fact that they both compile to Java byte code, so I figure this should be possible. </p>&#xA;",Write Java Program to grade Scala Homeworks,5.0,11.0,5383111.0,670080.0,2011-03-21 20:03:25,<java><scala>,,-1.0,644.0
3,5944264.0,-6.0,234.0,"<blockquote>&#xA;  <p><strong>Possible Duplicate:</strong><br>&#xA;  <a href=""http://stackoverflow.com/questions/5943831/c-random-number-homework-question"">C++ Random number homework question</a>  </p>&#xA;</blockquote>&#xA;&#xA;&#xA;&#xA;<p>Here's the code:</p>&#xA;&#xA;<pre><code>float getTwoRandomNumbers (int Min, int Max, int &amp; number1, int &amp; number2);&#xA;&#xA;void main()&#xA;{&#xA;    cout &lt;&lt; ""The two random numbers are "" &lt;&lt; getTwoRandomNumbers &lt;&lt; endl;&#xA;}&#xA;&#xA;float getTwoRandomNumbers (int Min, int Max, int &amp; number1, int &amp; number2)&#xA;{&#xA;   int loopNumber, number;&#xA;&#xA;   for (loopNumber = 0; loopNumber &lt;= 200; loopNumber++)&#xA;   { &#xA;       number = rand(); &#xA;&#xA;       if (loopNumber &lt; 100 &amp;&amp; number &gt;= Min &amp;&amp; number &lt;= Max)&#xA;       {&#xA;          number1 = number;&#xA;          cout &lt;&lt; number1 &lt;&lt; endl;&#xA;       }&#xA;&#xA;       if (loopNumber &gt; 100 &amp;&amp; number &gt;= Min &amp;&amp; number &lt;= Max)&#xA;       {&#xA;           number2 = number;&#xA;           cout &lt;&lt; number2 &lt;&lt; endl;&#xA;       }&#xA;       return getTwoRandomNumbers;&#xA;   }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>And the error:</p>&#xA;&#xA;<pre><code>.cpp (36)  :  error C2440 : 'return'  : cannot convert from 'float (__cdecl  *)(int,int,int, &amp;,int&amp;)' to 'float'&#xA;      There is no context in which this conversion is possible.&#xA;</code></pre>&#xA;",C++ Programming Error,2.0,11.0,,745660.0,2011-05-10 01:31:53,<c++><compiler-errors>,2011-05-10 02:14:50,-1.0,1481.0
4,6346736.0,-6.0,214.0,"<p>The following is a function I created, and put it in a file called last_function.py</p>&#xA;&#xA;<pre><code>from tkinter import*&#xA;&#xA;&#xA;def new_gui(app,sound_file,mixer):&#xA;&#xA;    track=mixer.Sound(sound_file)&#xA;    def track_toggle():&#xA;        if ballCheckbutton.get()==1:&#xA;&#xA;            track.play(loops=-1)&#xA;        else:&#xA;            track.stop()&#xA;&#xA;    ballCheckbutton=IntVar()    &#xA;    c1=Checkbutton(app,text=""check me out"",command=track_toggle,variable=ballCheckbutton)&#xA;    c1.pack(side=LEFT)&#xA;&#xA;    ballScale=DoubleVar()&#xA;&#xA;    def ScaleVolume(v):&#xA;        track.set_volume(ballScale.get())&#xA;&#xA;    ballScale.set(track.get_volume())&#xA;    s1=Scale(app,variable=ballScale,resolution=0.1,command=ScaleVolume,orient=HORIZONTAL,from_=0.0,to=1.0,label=""volume"")&#xA;    s1.pack()&#xA;</code></pre>&#xA;&#xA;<p>and this is the file i use.. to call the code and run it..</p>&#xA;&#xA;<pre><code>from tkinter import *&#xA;import pygame.mixer&#xA;from last_function import*&#xA;&#xA;app=Tk()&#xA;mixer=pygame.mixer&#xA;mixer.init()&#xA;new_gui(app,""49119_M_RED_HardBouncer.wav"",mixer)&#xA;&#xA;&#xA;def close():&#xA;    mixer.stop()&#xA;    app.destroy()&#xA;&#xA;app.protocol(""WM_DELETE_WINDOW"",close)&#xA;app.mainloop()&#xA;</code></pre>&#xA;&#xA;<p>Everything works fine.. but my query is...</p>&#xA;&#xA;<p>1> Why can't I remove <code>from tkinter import*</code> from the last_function file.. cause anyway it's got that on the top of the file that's calling it right. Why do I get an error saying IntVar() not defined.</p>&#xA;&#xA;<p>2> Why do I have to pass <code>mixer</code> as a parameter in the function? can the function not inherit it directly from <code>import pygame.mixer</code>that's on top of the file calling it?<br>&#xA; What I mean to say is. THERE ARE TKINTER COMPONENTS ALSO BEING USED, BUT I DON'T PASS TKINTER AS A PARAMETER.. Do I ! then why is there this... selective parameter assignment??</p>&#xA;&#xA;<p>I'm really confused!!!  </p>&#xA;",Seems like python is partial,1.0,5.0,6346967.0,794456.0,2011-06-14 16:21:05,<python>,,-1.0,2032.0
5,6405962.0,-6.0,727.0,"<p>I've been given an assignment to create a program that might involve a quiz generator. I decided to come to you guys since you seem to be the most helpful. </p>&#xA;&#xA;<p>Is an automatic quiz generator possible?</p>&#xA;&#xA;<p>Is it that automatic, or do you have to enter your own questions and correct answers?</p>&#xA;&#xA;<p>Can it work for other things rather than boolean answers (true and false)?</p>&#xA;&#xA;<p>Can it observe text syntax so that it can create questions based on a paragraph of information?</p>&#xA;&#xA;<p>can it observe text syntax so that it can accept answers that are close to the right answer, but is off by a few words?</p>&#xA;&#xA;<p>This would be very helpful if you could help me, as this question has me stumped right now.&#xA;You guys always come through though, so I await your answer :D!</p>&#xA;&#xA;<p>P.S. - I've seen other questions like this, but it covered only stuff like randomization. I believe that would be possible, but I'm wondering if <strong>""true""</strong>  generators are possible.</p>&#xA;","The Possibility of a ""True"" Quiz Generator",3.0,10.0,6406035.0,577957.0,2011-06-20 00:35:13,<parsing><artificial-intelligence><automated-tests>,2013-12-19 01:17:30,-1.0,1053.0
6,7066425.0,-6.0,291.0,"<p>I am working on this Java swing-based project wherein the user can enter their weekly schedules as seen below. The input must take the schedule that represents their busy times. Program must also ask for  the ff. inputs:</p>&#xA;&#xA;<p>.....a. Name of User<br/>&#xA;.....b. Earliest Time Possible to arrive at school (ETP)<br/>&#xA;.....c. Latest Time Possible to arrive at school (LTP)<br/></p>&#xA;&#xA;<blockquote>&#xA;  <p><em>Name</em>      : <strong>Jesse</strong><br/>&#xA;  <em>ETP</em>       : 8:00am<br/>&#xA;  <em>LTP</em>       : 8:00pm<br/></p>&#xA;  &#xA;  <p><em>Monday</em>    : ........9:40am to 2:30pm<br/>&#xA;  <em>Tuesday</em>   : .......8:00am to 9:30am<br/>&#xA;  <em>Wednesday</em> : ..2:00pm to 4:00pm<br/>&#xA;  <em>Thursday</em>  : ......9:40am to 2:30pm<br/>&#xA;  <em>Friday</em>    : ...........1:00pm to 4:10pm<br/>&#xA;  <em>Saturday</em>  : .......free all day</p>&#xA;</blockquote>&#xA;&#xA;<p>.</p>&#xA;&#xA;<blockquote>&#xA;  <p><em>Name</em>      : <strong>Les</strong><br/>&#xA;  <em>ETP</em>       : 9:00am<br/>&#xA;  <em>LTP</em>       : 10:00pm<br/></p>&#xA;  &#xA;  <p><em>Monday</em>    : .........2:40pm to 4:10pm<br/>&#xA;  <em>Tuesday</em>   : ........4:10pm to 5:50pm<br/>&#xA;  <em>Wednesday</em> : ...free all day<br/>&#xA;  <em>Thursday</em>  : .......1:00pm to 2:30pm<br/>&#xA;  <em>Friday</em>    : ............4:10pm to 5:50pm<br />&#xA;  <em>Saturday</em>  : ........9:00am to 12:00pm</p>&#xA;</blockquote>&#xA;&#xA;<p>==========================================================</p>&#xA;&#xA;<blockquote>&#xA;  <p>The Program creates a detailed schedule of their common free&#xA;  time.<br/> The following are the list of computations that the program&#xA;  must do:<br/> .....a. Summarize the time periods that are available.<br />&#xA;  .....b. Round <strong>up</strong> to either --:30 or --:00 periods.<br /> .....c. Calculate&#xA;  the duration (in hours and minutes).<br /></p>&#xA;</blockquote>&#xA;&#xA;<p>===========================================================</p>&#xA;&#xA;<p>Output:</p>&#xA;&#xA;<blockquote>&#xA;  <p><strong>Free Time for Jesse and Les</strong></p>&#xA;  &#xA;  <p>...................<em>Day</em>............................<em>Time</em>.............................<em>Duration</em><br/><br/>&#xA;  ................<em>Monday</em>.............9:00am to&#xA;  9:30am...................(30 mins)<br/>&#xA;  ..........................................4:30pm to&#xA;  8:00pm...........(3 hours and 30 mins)<br/><br/>&#xA;  ................<em>Tuesday</em>............9:30am to 4:00pm...........(6&#xA;  hours and 30 mins)<br/><br/> .............<em>Wednesday</em>..........9:00am&#xA;  to 2:00pm...................(7 hours)<br/>&#xA;  ..........................................4:00pm to&#xA;  8:00pm...................(4 hours)<br/><br/>&#xA;  ...............<em>Thursday</em>............9:00am to&#xA;  9:30am...................(30 mins)<br/>&#xA;  ..........................................2:30pm to&#xA;  8:00pm...........(5 hours and 30 mins)<br/><br/>&#xA;  ................<em>Friday</em>................9:00am to&#xA;  1:00pm...................(4 hours)<br/>&#xA;  ..........................................6:00pm to&#xA;  8:00pm...................(1 hours)<br/><br/>&#xA;  ..............<em>Saturday</em>............12:00pm to&#xA;  8:00pm...................(8 hours)<br/><br/></p>&#xA;</blockquote>&#xA;&#xA;<p>===========================================================</p>&#xA;&#xA;<blockquote>&#xA;  <p><em>Details to take note of:</em></p>&#xA;  &#xA;  <ol>&#xA;  <li>Minimum of 2 persons/users and Maximum of 4</li>&#xA;  <li>12noon is 12pm, 12midnight is 12am</li>&#xA;  <li>The program displays the hours in 12-hour format (JSpinners, user-input), but the int values that the code get to retrieved from those components are in 24-hour format.</li>&#xA;  <li>No Sundays</li>&#xA;  <li>Users need not enter a time range for each day (Which basically means no classes for that day)</li>&#xA;  </ol>&#xA;</blockquote>&#xA;&#xA;<p>===========================================================</p>&#xA;&#xA;<p>As of now, <br/> <br/> I have the gui in place which make use of&#xA;JSpinner(s) that takes time ranges from the user.<br/><br/>From there I&#xA;am able to retrieve the the int values of all the time fields (all&#xA;hours and minutes values of ETP, LTP, and all the days).<br/><br/> Now&#xA;my idea is store those values in ArrayList(s) and loop through those&#xA;values and compare them against each other to come-up with the vacant&#xA;time schedule.<br/><br/> The&#xA;store-all-mins-and-hours-then-loop-through-them was my first idea of&#xA;approach -- I'd be glad to provide you guys with my algorithm for&#xA;comparing these values but I simply do not have any as of the&#xA;moment.<br /></p>&#xA;&#xA;<p>I think the 4-user requirement made this project quite a task for me&#xA;to handle on my own.</p>&#xA;",Get common free time based on busy times Inputted by user,1.0,9.0,,854086.0,2011-08-15 14:53:16,<java><swing><date><time><timer>,2011-08-15 15:27:07,-1.0,4916.0
7,7245771.0,-6.0,207.0,"<p>here is a code:</p>&#xA;&#xA;<pre><code>&lt;?php&#xA;$html = &lt;&lt;&lt; HTML&#xA;    &lt;div id=""one""&gt;&#xA;&lt;h1&gt;header 1&lt;/h1&gt;&#xA;&lt;h2&gt;header 2&lt;/h2&gt;&#xA;&lt;blockquote&gt;&#xA;    &lt;p&gt;paragraph1&lt;/p&gt;&#xA;    &lt;p&gt;paragraph2&lt;/p&gt;&#xA;&lt;/blockquote&gt;&#xA;    &lt;b&gt;bold text1&lt;/b&gt;&#xA;&lt;b&gt;bold text2&lt;/b&gt;&#xA;&lt;/div&gt;&#xA;HTML;&#xA;&#xA;&#xA;&#xA;$dom = new DOMDocument();&#xA;@$dom-&gt;loadHTML($html);&#xA;&#xA;/******************3rd part*************/&#xA;     echo $dom-&gt;childNodes-&gt;item(0)-&gt;nodeName.""&lt;br&gt;"";&#xA; echo $dom-&gt;childNodes-&gt;item(1)-&gt;nodeName.""&lt;br&gt;"";&#xA;&#xA;&#xA;    /**********1st part**********/&#xA;$tags = $dom-&gt;getElementsByTagName(""blockquote"");&#xA;foreach($tags as $tag)&#xA;{&#xA;    $ps=$tag-&gt;getElementsByTagName(""p"");&#xA;    foreach($ps as $p)&#xA;    {&#xA;        echo $p-&gt;nodeValue.""&lt;br&gt;"";&#xA;    }&#xA;}&#xA;&#xA;/************2nd part**********/&#xA;$tags = $dom-&gt;getElementById(""one"");&#xA;foreach($tags as $tag)&#xA;{&#xA;    $hs=$tag-&gt;getElementsByTagName(""h1"");&#xA;    foreach($hs as $h)&#xA;    {&#xA;        echo $h-&gt;nodeValue.""&lt;br&gt;"";&#xA;    }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>?></p>&#xA;&#xA;<p>Please teach me by example :</p>&#xA;&#xA;<ol>&#xA;<li>What is the firstNode and lastNode in $html? How can I print the text inside those nodes?</li>&#xA;<li>Why the second part of the code prints nothing ?</li>&#xA;<li><code>&lt;h2&gt;header 2&lt;/h2&gt;</code> is this a single node ?</li>&#xA;<li>What is the difference between textContet and nodeValue ? </li>&#xA;<li>What is the idea of textContent, item() and childnodes?</li>&#xA;<li>How many child odes does div#one contain?</li>&#xA;<li>Which are the childNodes of $dom? How can I print their names?</li>&#xA;<li>What is the error in the 3rd part of this code? Both lines are showing the same!</li>&#xA;</ol>&#xA;&#xA;<p>I have read @Gordon's answer from <a href=""http://stackoverflow.com/questions/4979836/noob-question-about-domdocument-in-php/4983721#4983721"">here</a> but I need some clear examples.</p>&#xA;",DOMDocument : some basic questions,1.0,4.0,7246048.0,848930.0,2011-08-30 15:32:10,<php><domdocument>,2011-08-30 16:00:38,-1.0,2147.0
8,7883433.0,-8.0,6564.0,"<p>I have a problem with assembly assignment:</p>&#xA;&#xA;<blockquote>&#xA;  <p>Write a program that will write the numbers 7-15 in the data segment,&#xA;  starting from offset 200h, and then using a loop and compare them to&#xA;  read data from memory and the DX will insert the sum of numbers&#xA;  divisible by four.</p>&#xA;</blockquote>&#xA;&#xA;<p>Here is my code, and it doesn't work. I'm a beginner in assembly language. Could someone please help me?</p>&#xA;&#xA;<pre><code>mov ax,data&#xA;mov ds,ax&#xA;mov cl,07d &#xA;mov ch,015d&#xA;mov [bx],200h&#xA;&#xA;c:&#xA;mov [bx] ,cl&#xA;inc cl&#xA;inc bx&#xA;cmp cl,ch&#xA;jne c&#xA;&#xA;c1:&#xA;mov cl,[bx]&#xA;if&#xA;AND ax, 3h&#xA;add dx, ax&#xA;inc cl&#xA;inc bx &#xA;else&#xA;jmp c1&#xA;end if&#xA;</code></pre>&#xA;",Assembly if AND,2.0,0.0,,1011868.0,2011-10-25 00:28:37,<assembly>,2012-06-07 13:17:29,-1.0,777.0
9,7933070.0,-6.0,1336.0,"<p>I am taking a SQL database class using Oracle. There's an assignment:</p>&#xA;&#xA;<blockquote>&#xA;  <p>""Find the book title, author last name, and units on hand for each book in branch number 4""</p>&#xA;</blockquote>&#xA;&#xA;<p>I've tried different ways of nesting statement but none have worked with these tables.</p>&#xA;&#xA;<ul>&#xA;<li>BOOK</li>&#xA;<li>AUTHOR</li>&#xA;<li>INVENTORY</li>&#xA;<li>BRANCH</li>&#xA;</ul>&#xA;&#xA;<p>That was very helpful! (do actually want to learn this rather than just complete my homework) So far I got. besides if I wanted just the answers I would have said so,...</p>&#xA;&#xA;<pre><code>select book.book_code, author.author_last, inventory.on_hand&#xA;from book inner join wrote on book.book_code = wrote.book_code,&#xA;author inner join wrote on author.author_num = wrote.author_num,&#xA;inventory inner join branch on inventory.branch_num = branch.branch_num&#xA;where branch.branch_num = 4; &#xA;</code></pre>&#xA;&#xA;<p>But now I have a bunch of repeating products </p>&#xA;",Nested SQL statements for Oracle,1.0,2.0,7933111.0,1018875.0,2011-10-28 18:02:51,<sql><oracle>,2011-10-28 18:56:24,-1.0,1028.0
