,Id,Score,ViewCount,Body,Title,AnswerCount,CommentCount,AcceptedAnswerId,OwnerUserId,CreationDate,Tags,ClosedDate,label,length
0,4356273.0,-6.0,6753.0,"brief blurb, my skill in .net has been called ""innovative"" but i would prefer it be exemplary. basically, i need a mentor. i own the domain name codeologist.com and i am going to live up to that name but in order to do so i need a mentor & community. on to the questions: entity framework - i'd imagine this is an intense framework mapping objects from a factory while retaining the integrity and state of objects within the system. at least, that's what i can intuit from about 15 minutes of a podcast i listened to. rtfm i know but is that a correct general assessment? enterprise library - killer. used most blocks at least as example applications. domain driven design - what are some tricks to going from thinking like an erd/orm to domain driven design? pros vs. cons? agile vs. scrum - is there a difference really? unit testing - the last thing i think of. can't get automated web ui testing setup correctly also need help with nant/msbuild scripts from a vss 2005 repository. a full example in source would be really nice, perhaps including scheduling. bare essential tsql - what is considered the bare minimum professional grade tsql statements for enterprise development? like rowcount, transaction, rollback, flow control statements, in-line sql & security concerns for crud methods. it is conceivable to integrate mvc2/3, entity framework, enterprise library and silverlight web front ends? even perhaps sharepoint? i asked a guy i met once when should i use linq, his reply was ""always use the force"". when learning a new language what games/apps do you write? what are some good  has_homework  for those about to code? (we salute you!) what books would you recommend for general programming theory, enterprise architecture & business analysis? ok probably no one will respond but these are burning questions i've had in my gut and i just had to get all that out. geek for life.",General Questions about Entity Framework vs. Enterprise Library & a few others,2.0,3.0,4356536.0,210840.0,2010-12-04 22:52:52,<entity-framework><c#-4.0><agile><enterprise-library>,,-1.0,2220.0
1,4828307.0,-7.0,223.0,"i'm doing a ""stress test"", i need to know how long it takes to do recursive operations in iphone / ipad. for example: //""key"" is defined in header. for(int a=0;a<200;a++){ for(int g=0;g<200;g++){ key = @""hi""; } } do this value  has_assignment  (40.000 times) takes 6ms in ipad. but, if i do that: for(int a=0;a<200;a++){ for(int g=0;g<200;g++){ key = [nsstring stringwithformat:@""%i,%i"",a,g]; } } it takes almost 1 second!! for my application, i need to do this  has_assignment  more faster than this, someone knows another way to do?",Is there a way to speed up this Objective-C string assignment?,1.0,10.0,4828495.0,593830.0,2011-01-28 12:40:00,<iphone><objective-c>,,-1.0,750.0
2,5382972.0,-6.0,868.0,"i am a ta for a programming class. there is one  has_assignment  in which the students have to write scala. i am not proficient enough in scala to read it quickly to verify that the program works or capable of quickly writing a script in scala to run test inputs. however, i am very capable in java. i need some advice on a simple way to grade scala  has_ has_assignment   using my knowledge of java. is there a way to load in a scala file into java so i could have some simple java methods to run test inputs for their programs? i am aware of the fact that they both compile to java byte code, so i figure this should be possible.",Write Java Program to grade Scala Homeworks,5.0,11.0,5383111.0,670080.0,2011-03-21 20:03:25,<java><scala>,,-1.0,644.0
3,5944264.0,-6.0,234.0,"possible duplicate: c++ random number  has_homework  question here's the code: float gettworandomnumbers (int min, int max, int & number1, int & number2); void main() { cout << ""the two random numbers are "" << gettworandomnumbers << endl; } float gettworandomnumbers (int min, int max, int & number1, int & number2) { int loopnumber, number; for (loopnumber = 0; loopnumber <= 200; loopnumber++) { number = rand(); if (loopnumber < 100 && number >= min && number <= max) { number1 = number; cout << number1 << endl; } if (loopnumber > 100 && number >= min && number <= max) { number2 = number; cout << number2 << endl; } return gettworandomnumbers; } } and the error: .cpp (36) : error c2440 : 'return' : cannot convert from 'float (__cdecl *)(int,int,int, &,int&)' to 'float' there is no context in which this conversion is possible.",C++ Programming Error,2.0,11.0,,745660.0,2011-05-10 01:31:53,<c++><compiler-errors>,2011-05-10 02:14:50,-1.0,1481.0
4,6346736.0,-6.0,214.0,"the following is a function i created, and put it in a file called last_function.py from tkinter import* def new_gui(app,sound_file,mixer): track=mixer.sound(sound_file) def track_toggle(): if ballcheckbutton.get()==1: track.play(loops=-1) else: track.stop() ballcheckbutton=intvar() c1=checkbutton(app,text=""check me out"",command=track_toggle,variable=ballcheckbutton) c1.pack(side=left) ballscale=doublevar() def scalevolume(v): track.set_volume(ballscale.get()) ballscale.set(track.get_volume()) s1=scale(app,variable=ballscale,resolution=0.1,command=scalevolume,orient=horizontal,from_=0.0,to=1.0,label=""volume"") s1.pack() and this is the file i use.. to call the code and run it.. from tkinter import * import pygame.mixer from last_function import* app=tk() mixer=pygame.mixer mixer.init() new_gui(app,""49119_m_red_hardbouncer.wav"",mixer) def close(): mixer.stop() app.destroy() app.protocol(""wm_delete_window"",close) app.mainloop() everything works fine.. but my query is... 1> why can't i remove from tkinter import* from the last_function file.. cause anyway it's got that on the top of the file that's calling it right. why do i get an error saying intvar() not defined. 2> why do i have to pass mixer as a parameter in the function? can the function not inherit it directly from import pygame.mixerthat's on top of the file calling it? what i mean to say is. there are tkinter components also being used, but i don't pass tkinter as a parameter.. do i ! then why is there this... selective parameter  has_assignment ?? i'm really confused!!!",Seems like python is partial,1.0,5.0,6346967.0,794456.0,2011-06-14 16:21:05,<python>,,-1.0,2032.0
5,6405962.0,-6.0,727.0,"i've been given an  has_assignment  to create a program that might involve a quiz generator. i decided to come to you guys since you seem to be the most helpful. is an automatic quiz generator possible? is it that automatic, or do you have to enter your own questions and correct answers? can it work for other things rather than boolean answers (true and false)? can it observe text syntax so that it can create questions based on a paragraph of information? can it observe text syntax so that it can accept answers that are close to the right answer, but is off by a few words? this would be very helpful if you could help me, as this question has me stumped right now. you guys always come through though, so i await your answer :d! p.s. - i've seen other questions like this, but it covered only stuff like randomization. i believe that would be possible, but i'm wondering if ""true"" generators are possible.","The Possibility of a ""True"" Quiz Generator",3.0,10.0,6406035.0,577957.0,2011-06-20 00:35:13,<parsing><artificial-intelligence><automated-tests>,2013-12-19 01:17:30,-1.0,1053.0
6,7066425.0,-6.0,291.0,"i am working on this java swing-based project wherein the user can enter their weekly schedules as seen below. the input must take the schedule that represents their busy times. program must also ask for the ff. inputs: .....a. name of user .....b. earliest time possible to arrive at  has_homework  (etp) .....c. latest time possible to arrive at  has_homework  (ltp) name : jesse etp : 8:00am ltp : 8:00pm monday : ........9:40am to 2:30pm tuesday : .......8:00am to 9:30am wednesday : ..2:00pm to 4:00pm thursday : ......9:40am to 2:30pm friday : ...........1:00pm to 4:10pm saturday : .......free all day . name : les etp : 9:00am ltp : 10:00pm monday : .........2:40pm to 4:10pm tuesday : ........4:10pm to 5:50pm wednesday : ...free all day thursday : .......1:00pm to 2:30pm friday : ............4:10pm to 5:50pm saturday : ........9:00am to 12:00pm ========================================================== the program creates a detailed schedule of their common free time. the following are the list of computations that the program must do: .....a. summarize the time periods that are available. .....b. round up to either --:30 or --:00 periods. .....c. calculate the duration (in hours and minutes). =========================================================== output: free time for jesse and les ...................day............................time.............................duration ................monday.............9:00am to 9:30am...................(30 mins) ..........................................4:30pm to 8:00pm...........(3 hours and 30 mins) ................tuesday............9:30am to 4:00pm...........(6 hours and 30 mins) .............wednesday..........9:00am to 2:00pm...................(7 hours) ..........................................4:00pm to 8:00pm...................(4 hours) ...............thursday............9:00am to 9:30am...................(30 mins) ..........................................2:30pm to 8:00pm...........(5 hours and 30 mins) ................friday................9:00am to 1:00pm...................(4 hours) ..........................................6:00pm to 8:00pm...................(1 hours) ..............saturday............12:00pm to 8:00pm...................(8 hours) =========================================================== details to take note of: minimum of 2 persons/users and maximum of 4 12noon is 12pm, 12midnight is 12am the program displays the hours in 12-hour format (jspinners, user-input), but the int values that the code get to retrieved from those components are in 24-hour format. no sundays users need not enter a time range for each day (which basically means no classes for that day) =========================================================== as of now, i have the gui in place which make use of jspinner(s) that takes time ranges from the user.from there i am able to retrieve the the int values of all the time fields (all hours and minutes values of etp, ltp, and all the days). now my idea is store those values in arraylist(s) and loop through those values and compare them against each other to come-up with the vacant time schedule. the store-all-mins-and-hours-then-loop-through-them was my first idea of approach -- i'd be glad to provide you guys with my algorithm for comparing these values but i simply do not have any as of the moment. i think the 4-user requirement made this project quite a task for me to handle on my own.",Get common free time based on busy times Inputted by user,1.0,9.0,,854086.0,2011-08-15 14:53:16,<java><swing><date><time><timer>,2011-08-15 15:27:07,-1.0,4916.0
7,7245771.0,-6.0,207.0,"here is a code: header 1 header 2 paragraph1 paragraph2 bold text1 bold text2 html; $dom = new domdocument(); @$dom->loadhtml($html); /******************3rd part*************/ echo $dom->childnodes->item(0)->nodename.""""; echo $dom->childnodes->item(1)->nodename.""""; /**********1st part**********/ $tags = $dom->getelementsbytagname(""blockquote""); foreach($tags as $tag) { $ps=$tag->getelementsbytagname(""p""); foreach($ps as $p) { echo $p->nodevalue.""""; } } /************2nd part**********/ $tags = $dom->getelementbyid(""one""); foreach($tags as $tag) { $hs=$tag->getelementsbytagname(""h1""); foreach($hs as $h) { echo $h->nodevalue.""""; } } ?> please  has_homework  me by example : what is the firstnode and lastnode in $html? how can i print the text inside those nodes? why the second part of the code prints nothing ? header 2 is this a single node ? what is the difference between textcontet and nodevalue ? what is the idea of textcontent, item() and childnodes? how many child odes does div#one contain? which are the childnodes of $dom? how can i print their names? what is the error in the 3rd part of this code? both lines are showing the same! i have read @gordon's answer from here but i need some clear examples.",DOMDocument : some basic questions,1.0,4.0,7246048.0,848930.0,2011-08-30 15:32:10,<php><domdocument>,2011-08-30 16:00:38,-1.0,2147.0
8,7883433.0,-8.0,6564.0,"i have a problem with assembly  has_assignment : write a program that will write the numbers 7-15 in the data segment, starting from offset 200h, and then using a loop and compare them to read data from memory and the dx will insert the sum of numbers divisible by four. here is my code, and it doesn't work. i'm a beginner in assembly language. could someone please help me? mov ax,data mov ds,ax mov cl,07d mov ch,015d mov [bx],200h c: mov [bx] ,cl inc cl inc bx cmp cl,ch jne c c1: mov cl,[bx] if and ax, 3h add dx, ax inc cl inc bx else jmp c1 end if",Assembly if AND,2.0,0.0,,1011868.0,2011-10-25 00:28:37,<assembly>,2012-06-07 13:17:29,-1.0,777.0
9,7933070.0,-6.0,1336.0,"i am taking a sql database class using oracle. there's an  has_assignment : ""find the book title, author last name, and units on hand for each book in branch number 4"" i've tried different ways of nesting statement but none have worked with these tables. book author inventory branch that was very helpful! (do actually want to learn this rather than just complete my  has_homework ) so far i got. besides if i wanted just the answers i would have said so,... select book.book_code, author.author_last, inventory.on_hand from book inner join wrote on book.book_code = wrote.book_code, author inner join wrote on author.author_num = wrote.author_num, inventory inner join branch on inventory.branch_num = branch.branch_num where branch.branch_num = 4; but now i have a bunch of repeating products",Nested SQL statements for Oracle,1.0,2.0,7933111.0,1018875.0,2011-10-28 18:02:51,<sql><oracle>,2011-10-28 18:56:24,-1.0,1028.0
