,Id,Score,ViewCount,Body,Title,AnswerCount,CommentCount,AcceptedAnswerId,OwnerUserId,CreationDate,Tags,ClosedDate,label,length
0,48295,-14,1096,"First, what is the proper terminology for a ""string"" in TeX/LaTeX that is an argument for a macro? e.g., \macro{somestring} Obviously somestring is a token, set of tokens, string, argument, etc. I will call it a string since I do not know what else to call it. I'm not thinking it is another macro but sort of ""inert"" text. What I want to be able to do is parse a string that represents macros in LaTeX but codified in a very simple way: The best way to describe it is to give an example The follow string x4y3[cgreen, t4[-3,4,a90]] represents setting properties x-position = 4 y-position = 3 color = green test = 4 with x offset -3, y offset 4 and angle 90 [ ] = optional (optional list of optional specifiers in no particular order) It should be VERY self explanatory how I went from the condensed string to the properties it represents. If not stare at the string for a few hours. You should be able to read the string and tell exactly what it means after knowing what the indicator symbols are. (this is no different than what xparse does with it's specification string except mine is a little more complex) Now the hard part, I want to be able to parse that string into a series of macros that set data. As you can probably guess it, the string represents something to do with placing a graphic at a location. If you want to have some interpretation for x4y3[cgreen, t4[-3,4,a90]] to make you feel better: Place a green circle at coordinates(4,3) with a piece of text ""4"" offset (-3,4) from it and rotated 90 degrees. To do this cleanly and efficiently I would like to create macros that are called for each corresponding macro in the string \def\x#1{} \def\y#1{} \def\c#1{} \def\t#1#2{} So we could see the string as simply calling \x{-3}\y{4}\c{green}\t{4}{-3,4,a90} So as you can see the string is just a ""condensed"" version of a macro. The string simply is a command value pair with possible optional arguments. One could almost simply go in and add \' s and brackets to get the command. For example, pseudo-code: parse_string{ foreach token in command-list write '\'token'{'next_token'}' } But I would like to add commands/macros that have more than one character (the smallest token size would take precedence) AND do other things like default values. Anyways, as usual this is relatively straightforward in most procedural programming languages but I'm sure I'll spend the next few weeks trying to figure out how to do it in TeX/LaTeX and then 10k lines of code later I'll probably end up with a buggy as hell version.",Stringified commands to macros sequence,2,12,48320.0,11637.0,2012-03-16 20:29:53,<macros><parsing><xparse>,2014-06-21 23:52:42,-1,3203
1,54830,-6,295,I'll appreciate suggestions for a code that create the following nice visualization of frame-dragging (or anything alike):,tikz code for frame dragging,1,4,54862.0,1999.0,2012-05-07 19:39:52,<tikz-pgf>,,-1,232
2,3,139,34464,"I have heard rumors that you can compile documents online, and more specifically that Google has a free online compiler, but I have never been able to find any. Is there a way to compile documents online, so that I can write and compile documents even if I don't have a TeX distribution installed on my computer?",Compiling documents online,17,3,6.0,14.0,2010-07-26 19:18:48,<compiling><tools><online>,,1,324
3,11,182,26186,"Which book (free or otherwise) was the most useful to you when you started learning LaTeX? I am frequently asked this question by friends who want to learn LaTeX, and I recommend the book which got me started, has_links , but I feel that there might be better options around. Also see has_links .",What are good learning resources for a LaTeX beginner?,21,4,,14.0,2010-07-26 19:26:16,<books><big-list><learning><tutorials>,,1,599
4,14,263,32828,"I know what my symbol or character looks like, but I don't know what the command is or which math alphabet it came from. How do I go about finding this out?",How to look up a symbol or identify a math symbol or character?,11,2,21.0,39.0,2010-07-26 19:28:46,<symbols>,,1,168
5,15,66,13256,What's the best strategy for spell checking LaTeX documents?,Spell checking LaTeX documents,8,1,,55.0,2010-07-26 19:28:47,<tools><spelling><proofreading>,,1,72
6,35,66,22087,"I often see output from TeX with the warning overfull hbox, badness 10000 . What does this message mean?","What does ""overfull hbox"" mean?",2,5,16439.0,60.0,2010-07-26 19:38:54,<line-breaking><boxes><warnings>,,1,128
7,36,237,36822,"I’m interested in the differences and commonalities between the “new” (La)TeX processors: has_links , has_links , and has_links . Personally, I’ve only used XeTeX so far and without having the time to try out all three systems, I’m having a surprisingly hard time setting them off from one each other. As I understand it, these systems are actually very different in some regards. So I’m explicitly asking for strengths and weaknesses in every-day use (whatever that is), rather than very special scenarios. (I’ve already asked a has_links on Super User some time ago.)","Differences between LuaTeX, ConTeXt and XeTeX",5,7,72.0,42.0,2010-07-26 19:39:09,<xetex><luatex><context>,,1,962
8,42,78,6047,"I would like to have my whole document showing a blank line (or space) between paragraphs and no indentation. I know how to do it line by line, but is there a way to change that with just one or a few lines at the beginning of the document? Like a package you can install, or a new command?",Is there an easy way to have my whole document with a space between paragraphs rather than indentation?,5,1,57.0,14.0,2010-07-26 19:42:19,<packages><spacing><indentation><paragraphs><parskip>,,1,302
9,49,71,16442,I know LaTeX and I've heard that LaTeX is a set of macros in TeX. But what does it exactly mean?,What is the difference between TeX and LaTeX?,5,1,85.0,69.0,2010-07-26 19:46:45,<tex-core><latex-project>,,1,112
