,Id,Score,ViewCount,Body,Title,AnswerCount,CommentCount,AcceptedAnswerId,OwnerUserId,CreationDate,Tags,ClosedDate,label,length
0,48295,-14,1096,"first, what is the proper terminology for a ""string"" in tex/latex that is an argument for a macro? e.g., \macro{somestring} obviously somestring is a token, set of tokens, string, argument, etc. i will call it a string since i do not know what else to call it. i'm not thinking it is another macro but sort of ""inert"" text. what i want to be able to do is parse a string that represents macros in latex but codified in a very simple way: the best way to describe it is to give an example the follow string x4y3[cgreen, t4[ has_numeric , has_numeric ,a90]] represents setting properties x-position =  has_numeric  y-position =  has_numeric  color = green test =  has_numeric  with x offset  has_numeric , y offset  has_numeric  and angle  has_numeric  [ ] = optional (optional list of optional specifiers in no particular order) it should be very self explanatory how i went from the condensed string to the properties it represents. if not stare at the string for a few hours. you should be able to read the string and tell exactly what it means after knowing what the indicator symbols are. (this is no different than what xparse does with it's specification string except mine is a little more complex) now the hard part, i want to be able to parse that string into a series of macros that set data. as you can probably guess it, the string represents something to do with placing a graphic at a location. if you want to have some interpretation for x4y3[cgreen, t4[ has_numeric , has_numeric ,a90]] to make you feel better: place a green circle at coordinates( has_numeric , has_numeric ) with a piece of text "" has_numeric "" offset ( has_numeric , has_numeric ) from it and rotated  has_numeric  degrees. to do this cleanly and efficiently i would like to create macros that are called for each corresponding macro in the string \def\x# has_numeric {} \def\y# has_numeric {} \def\c# has_numeric {} \def\t# has_numeric # has_numeric {} so we could see the string as simply calling \x{ has_numeric }\y{ has_numeric }\c{green}\t{ has_numeric }{ has_numeric , has_numeric ,a90} so as you can see the string is just a ""condensed"" version of a macro. the string simply is a command value pair with possible optional arguments. one could almost simply go in and add \'s and brackets to get the command. for example, pseudo-code: parse_string{ foreach token in command-list write '\'token'{'next_token'}' } but i would like to add commands/macros that have more than one character (the smallest token size would take precedence) and do other things like default values. anyways, as usual this is relatively straightforward in most procedural programming languages but i'm sure i'll spend the next few weeks trying to figure out how to do it in tex/latex and then 10k lines of code later i'll probably end up with a buggy as hell version.",Stringified commands to macros sequence,2,12,48320.0,11637.0,2012-03-16 20:29:53,<macros><parsing><xparse>,2014-06-21 23:52:42,-1,3203
1,54830,-6,295,i'll appreciate suggestions for a code that create the following nice visualization of frame-dragging (or anything alike):,tikz code for frame dragging,1,4,54862.0,1999.0,2012-05-07 19:39:52,<tikz-pgf>,,-1,232
2,3,139,34464,"i have heard rumors that you can compile documents online, and more specifically that google has a free online compiler, but i have never been able to find any. is there a way to compile documents online, so that i can write and compile documents even if i don't have a tex distribution installed on my computer?",Compiling documents online,17,3,6.0,14.0,2010-07-26 19:18:48,<compiling><tools><online>,,1,324
3,11,182,26186,"which book (free or otherwise) was the most useful to you when you started learning latex? i am frequently asked this question by friends who want to learn latex, and i recommend the book which got me started, the not so short introduction to latex2ε, but i feel that there might be better options around. also see latex introductions in languages other than english.",What are good learning resources for a LaTeX beginner?,21,4,,14.0,2010-07-26 19:26:16,<books><big-list><learning><tutorials>,,1,599
4,14,263,32828,"i know what my symbol or character looks like, but i don't know what the command is or which math alphabet it came from. how do i go about finding this out?",How to look up a symbol or identify a math symbol or character?,11,2,21.0,39.0,2010-07-26 19:28:46,<symbols>,,1,168
5,15,66,13256,what's the best strategy for spell checking latex documents?,Spell checking LaTeX documents,8,1,,55.0,2010-07-26 19:28:47,<tools><spelling><proofreading>,,1,72
6,35,66,22087,"i often see output from tex with the warning overfull hbox, badness  has_numeric . what does this message mean?","What does ""overfull hbox"" mean?",2,5,16439.0,60.0,2010-07-26 19:38:54,<line-breaking><boxes><warnings>,,1,128
7,36,237,36822,"i’m interested in the differences and commonalities between the “new” (la)tex processors: luatex, xetex, and context. personally, i’ve only used xetex so far and without having the time to try out all three systems, i’m having a surprisingly hard time setting them off from one each other. as i understand it, these systems are actually very different in some regards. so i’m explicitly asking for strengths and weaknesses in every-day use (whatever that is), rather than very special scenarios. (i’ve already asked a similar question on super user some time ago.)","Differences between LuaTeX, ConTeXt and XeTeX",5,7,72.0,42.0,2010-07-26 19:39:09,<xetex><luatex><context>,,1,962
8,42,78,6047,"i would like to have my whole document showing a blank line (or space) between paragraphs and no indentation. i know how to do it line by line, but is there a way to change that with just one or a few lines at the beginning of the document? like a package you can install, or a new command?",Is there an easy way to have my whole document with a space between paragraphs rather than indentation?,5,1,57.0,14.0,2010-07-26 19:42:19,<packages><spacing><indentation><paragraphs><parskip>,,1,302
9,49,71,16442,i know latex and i've heard that latex is a set of macros in tex. but what does it exactly mean?,What is the difference between TeX and LaTeX?,5,1,85.0,69.0,2010-07-26 19:46:45,<tex-core><latex-project>,,1,112
10,64,101,10427,a lot of people write makefiles that say something like paper.pdf: paper.tex pdflatex paper bibtex paper pdflatex paper pdflatex paper to handle re-running tex to get new/changed references and so forth. is there a better way to do this?,Tools for automating document compilation,24,6,,60.0,2010-07-26 19:52:45,<compiling><automation><tools><big-list><makefile>,,1,351
11,66,67,2435,"this is a community wiki since there is no ""one true answer""- if you find an answer that contains a lot of your choices, but is missing something you feel is incredibly useful. feel free to add it. a short description of what topics the reference covers would be nice as well. organize by subject please. for example: i always keep the following pdfs at my fingertips. document layout the memoir manual: covers, in exquisite detail, how to produce just about any document using the memoir latex class. (pdf  has_numeric . has_numeric  mb) mathematical typesetting math mode: a document by herbert voß that explains how to typeset just about any mathematical expression in latex. (pdf 2mb) graphics the pgf manual: explains, with examples, how to draw just about any figure using pgf/tikz. also a good example of what awesome documentation should look like. (pdf  has_numeric .8mb)","Which manuals are on your ""TeX Reference"" shelf?",16,4,,17.0,2010-07-26 19:53:11,<books><documentation>,,1,1544
12,80,304,114666,"if you have a tex'ed resume, did you use a template or make your own? are there any useful packages? what looks the most professional? how about special considerations for different areas of work (e.g. in academia)?",LaTeX template for resume/curriculum vitae,27,1,,8.0,2010-07-26 19:57:10,<packages><templates><resume>,,1,227
13,100,55,4420,"is there something like indent for latex? i have a collaborator that is using scientific workplace and the code it produces is totally messed up; i know i shouldn't expect miracles, but any machine support would be useful. edit: this question is quite undefined without my comment to keithb's answer; the idea is to save vc-friendly one sentence/one paragraph per text file line structure which swt ""fixes"" by wrapping everything into fixed column width format.",Tool for cleaning LaTeX code,5,9,1488.0,7.0,2010-07-26 20:05:44,<tools><sourcecode><cleanup>,,1,502
14,138,63,26024,"often, tex outputs underfull hbox and vbox warnings when running and in the generated log file. what are these and how can i get rid of them?",What are underfull hboxes and vboxes and how can I get rid of them?,3,2,156.0,87.0,2010-07-26 20:35:43,<line-breaking><boxes><warnings>,,1,153
15,142,88,61658,"sometimes, i want to have enumerate lists in latex start at other than the first value ( has_numeric , a, i, etc.) how can i make an enumerate list start at an arbitrary value?",How can I make an enumerate list start at something other than 1?,3,0,149.0,93.0,2010-07-26 20:42:10,<lists><numbering><enumerate>,,1,176
16,143,54,19286,"when working with bibtex, manually transferring the citation information for articles, prooceedings, books, etc. can be a tedious work. some web sites provide citations in bibtex format. what are your favorite sites to get bibtex citations of your used references?",What are good sites to find citations in BibTex format?,21,6,207.0,46.0,2010-07-26 20:43:36,<bibtex>,,1,310
17,161,94,6213,"i use revision control (subversion, to be exact) to keep track of the edits to my latex documents. is there a latex package that interfaces with revision control? specifically, it would be nice to see the revision number and time and date inside the document. (obviously, i'd turn this off in the final version.) also, it might be nice to get a pdf showing what was added and removed in a given revision.",LaTeX packages for use with revision control,12,0,169.0,52.0,2010-07-26 21:00:35,<packages><tools><automation><revision-control>,,1,416
18,165,51,9255,"latex documents print beautifully, but images often looks ""ugly"", ""pixelated"" or ""low-res"" compared to the text. by images i don't mean photos, which i rarely use, but rather diagrams, charts and drawings made in other programs such as visio, excel and photoshop. i would love for these to look just as good as the rest of the report when printed.",How do I insert an image in LaTeX so it looks good on print?,4,1,202.0,121.0,2010-07-26 21:05:00,<graphics><diagrams><printing>,,1,359
19,196,71,71377,"i want to include a list of related equations, say, for a proof, in my latex document. as far as i know, i have two good options, eqnarray and align. what is the difference between them, and how do i know which i should be using? or does it not matter at all?",eqnarray vs align,5,0,197.0,70.0,2010-07-26 22:13:43,<align><equations>,,1,297
20,227,67,18983,i want to add a footer to my document displaying the current number out of total number of pages. how do i do that?,"How can I add ""page # of ##"" on my document?",7,0,235.0,62.0,2010-07-27 00:23:49,<header-footer><page-numbering><lastpage>,,1,127
21,232,68,5487,"i imagine that many users are or were [phd] students, so i would like to know: how do you use latex to write a document (like the final dissertation) that requires many revisions from other people. when i work with my professor, i usually send him a pdf generated by latex and the source files. he then uses a process like such: define some color for his commentaries or additions to the text \usepackage{xcolor} ... \define{\profsmith}[ has_numeric ]{{\color{red} # has_numeric }} ... lorem ipsum \profsmith{not very clever} he sends me his changes and i check his observations, marking my changes with another \define repeat until everyone is satisfied for final versions comment defines and replace for \define{\profsmith}[ has_numeric ]{# has_numeric } so yes, it is a bit cumbersome. i have tried margin notes, but space is limited and sometimes the professor's correction are inside some phrases or paragraphs. i also thought about version control differences (like svn, mercurial, etc), but my chances are low: everyone but me uses a one-liner for each paragraph. in consequence, i have a hard time checking these differences. what do you guys [would] use in this case? any other ideas or comments?",How can you use LaTeX to write a document with other people?,10,2,249.0,146.0,2010-07-27 00:34:16,<revision-control><notes><collaboration>,,1,1404
22,246,381,151928,"there are two different commands to incorporate another file into the source of some document, \input and \include. when should i use one or the other? what are the differences between them? are there more things like them to be aware of?",When should I use \input vs. \include?,4,1,250.0,60.0,2010-07-27 00:55:35,<include><input>,,1,276
23,258,81,14358,what is the difference between the \let and \def commands in tex/latex? ideally please provide a simple example that will illustrate the difference between them.,What is the difference between \let and \def?,3,0,318.0,136.0,2010-07-27 01:59:18,<macros><tex-core>,,1,216
24,265,67,33948,how can i make text that is larger than the size of the output of {\huge ...}? i would like to be able to make text arbitrarily large (even if that is done by some suboptimal scaling routine).,Fonts larger than \Huge?,8,0,269.0,136.0,2010-07-27 03:49:40,<fontsize>,,1,234
25,268,61,39387,"when trying to write an e-mail address, there are always problems with the @ sign. solutions i've seen suggested are using some verbatim environment (more difficult in footnotes) and using a math-mode @. what is the correct way to do this?",What's the best way to write e-mail addresses?,8,2,276.0,135.0,2010-07-27 04:02:43,<symbols><addresses>,,1,292
26,279,69,11549,"often floats may land quite a bit later in the document than the point they are created, sometimes after a section break. is there a way to force a new section to start on a new page, after any unplaced floats?",How do I ensure that figures appear in the section they're associated with?,2,1,282.0,77.0,2010-07-27 05:29:31,<sectioning><floats><positioning><page-breaking><sections-paragraphs>,,1,238
27,308,58,5723,"i want to define a command that expands to two completely different things depending on whether i supply, or not, an optional argument. for example, \mycmd{normal} -> something(normal) \mycmd[optional]{normal} -> anotherthing(normal, optional) how can i do this?",Different command definitions with and without optional argument,5,2,63041.0,169.0,2010-07-27 07:58:11,<macros><optional-arguments>,,1,352
28,312,73,26269,"how do i set the tilde (~) character correctly in latex? there’s a question discussing that on stack overflow, with a lot of answers. but dare i say it? they all suck: \textasciitilde is too high, \texttildelow is too low. $\sim$ can be tweaked to look more or less acceptable: {\raise.17ex\hbox{$\scriptstyle\sim$}} – but even that is a hack and uses the wrong symbol. the point is – the tilde character is definitely an existing glyph in any font i am tempted to use. how can i just access and typeset that character, please? without resorting to some other, similar-looking glyph that first needs to be nudged into place using a cunning combination of font size and raised boxes? there must be a possibility to access that glyph directly from the font definition. to demonstrate, look at this screenshot which attempts simply to display a c++ destructor of a type t (~t): compare this with the symbol we get in the browser: ~ – that’s what i want.",Correctly typesetting a tilde,8,0,317.0,42.0,2010-07-27 08:20:18,<tilde><symbols>,,1,1433
29,326,53,21854,"aside from ctan, what are good resources/repositories for latex templates? in particular, i'm looking for some pretty thesis templates (i'm familiar with classicthesis)",LaTeX templates for writing a thesis,13,4,,171.0,2010-07-27 09:24:14,<templates><big-list><thesis><resources><repositories>,,1,180
30,329,51,41615,"i want to use a smaller font size for the bibliography, e.g., \footnotesize. what is the easiest way to achieve this? i currently do \renewenvironment{thebibliography}... and copy the definition from report.cls but with the \footnotesize inserted in. however, that seems to be a bit of a hack, so i'm looking for a cleaner way.",How to change font size for bibliography?,4,2,343.0,79.0,2010-07-27 09:47:34,<bibliographies><fontsize>,,1,365
31,337,75,44224,"how can i change some pages into document into landscape mode, while leaving the others in portrait mode (or vice versa)?",How to change certain pages into landscape/portrait mode,2,2,,183.0,2010-07-27 10:42:59,<landscape>,,1,133
32,339,385,147638,"what editors/ides are available for easing the process of writing tex/latex documents? please state some useful features like code completion, spell checking, building final dvi or pdf files, etc. this question is undergoing a systematic refurbishment, see let’s polish the editors/ides question on meta. if you’d like to see another editor feature covered here or to take care of an editor that’s not covered yet, share your ideas in that meta question.",LaTeX Editors/IDEs,40,5,,183.0,2010-07-27 10:50:20,<editors><big-list><ide>,,1,613
33,341,195,45613,i want to create posters for my poster presentation on a conference. what tools or latex classes are available for preparing posters ?,How to create posters using LaTeX,11,15,,183.0,2010-07-27 10:56:59,<document-classes><big-list><posters>,,1,146
34,349,58,8035,i understand that some packages (like pstricks) can't be used with pdflatex. are there any other differences between these tools? can we say that pdflatex is better if we don't care about ps?,What is the practical difference between latex and pdflatex?,8,1,358.0,69.0,2010-07-27 11:14:42,<pdftex><compiling>,,1,225
35,383,54,40531,"the images in my paper are in eps format. if i execute pdflatex to get a pdf version of my paper, the figures won't appear. i have to typeset using the latex command, and then convert the dvi file to pdf using dvipdf. why doesn't pdflatex support eps figures?",Why can't pdflatex print EPS figures?,6,2,388.0,165.0,2010-07-27 14:49:06,<graphics><pdftex><eps>,,1,342
36,451,95,16576,"i'm quite happy hacking tex macros and cobbling together bits and pieces from different style files to suit my own ends, but i have a suspicion that my resulting hacks are not quite as elegant as they could be. in particular, with regard to when to expand and when not to expand macros. a common occurrence for me is defining a meta-command that defines a whole slew of sub-commands. so the names of the sub-commands will contain parameters depending on the parameter passed to the meta-command, and the contents of the sub-commands will also vary a little depending on what the meta-command got. often it won't be a direct substitution but rather a ""if # has_numeric  is 'a' do \this else do \that"", but \this and \that need expansion at define time, not call time. here's a very simple example just involving direct substitution: \def\cohtheory# has_numeric { \expandafter\newcommand\expandafter{\csname #1func\endcsname}[ has_numeric ][*]{% \makeuppercase{# has_numeric }^{## has_numeric }} } sometimes i worry that my commands are more complicated than they need be. for example, if i want to call a command with two arguments and the arguments expand before the command, here's how i've coded it: \expandafter \expandafter \expandafter \command\expandafter \expandafter \expandafter {\expandafter \argone \expandafter }\expandafter {\argtwo} so i'm looking for guidance on when and how to control expansion in defining macros. i strongly suspect that such cannot be given in a simple answer, so to make this a focussed question, let me phrase it thus: where's a good reference for writing tex macros that includes advice on how to best deal with how to handle expansions? of course, if anyone can formulate some advice in short answer, i'd be only to happy to read it. (note: this was partially motivated by juannavarroperez's adaptation of my answer to this question where over  has_numeric  \expandafters got condensed down to just  has_numeric !)","When to use \edef, \noexpand, and \expandafter?",4,5,519.0,86.0,2010-07-28 10:49:14,<macros><tex-core><expansion>,,1,2430
37,452,58,7690,"i often create pictures in tikz that i want to either send to someone, or include in an email. the problem with that is that there is a big white space around and and especially below my pictures. to get around this, i usually print screen my figure and crop it to get the size i want. another solution is to use beamer and then scaling to make the figure as big as the slide size. those two solutions, though, are not all that good. what i would really like is a way to get the pdf file to be just as big as my picture, as if it was cropped from start. is there a package to do that?",How can I create a pdf document exactly as big as my tikz picture?,5,0,458.0,14.0,2010-07-28 10:50:15,<tikz-pgf><paper-size>,,1,628
38,498,63,33667,"what's the difference between the different vertical bars? $s = \{\, x \mid x \not=  has_numeric  \,\}$ $a \vert b$ implies $a \leq b$ when $b \ne  has_numeric $ $a|b$ implies $a \leq b$ when $b \ne  has_numeric $ $\lvert x \rvert$ is always non-negative are all of these uses correct?","\mid, | (vertical bar), \vert, \lvert, \rvert, \divides",4,4,506.0,9.0,2010-07-28 17:58:47,<math-mode><symbols>,,1,426
39,503,216,15061,"i've heard that you should use \[ ... \] for displayed equations instead of $$ ... $$, but why is that? i'd assumed that it's so that you can more easily tell which are starting and which are ending delimiters, but if i always use a syntax-highlighting text editor, i can see that easily based on the color of the symbols. is there any reason for this suggestion?",Why is \[ ... \] preferable to $$ ... $$?,8,6,508.0,9.0,2010-07-28 18:33:26,<math-mode><equations><syntax>,,1,434
40,510,146,7431,"along the lines of why is \[ ... \] preferable to $$?, what reasons are there (if any) to favor \( ... \) over $ ... $?",Are \( and \) preferable to dollar signs for math mode?,8,2,513.0,206.0,2010-07-28 18:50:31,<math-mode><best-practices><syntax>,,1,240
