,Id,Score,ViewCount,Body,Title,AnswerCount,CommentCount,AcceptedAnswerId,OwnerUserId,CreationDate,Tags,ClosedDate,label,length
0,48295,-14,1096,"<p>First, what is the proper terminology for a ""string"" in TeX/LaTeX that is an argument for a macro? e.g., <code>\macro{somestring}</code> Obviously <code>somestring</code> is a token, set of tokens, string, argument, etc. I will call it a string since I do not know what else to call it. I'm not thinking it is another macro but sort of ""inert"" text.</p>&#xA;&#xA;<p>What I want to be able to do is parse a string that represents macros in LaTeX but codified in a very simple way:</p>&#xA;&#xA;<p>The best way to describe it is to give an example</p>&#xA;&#xA;<p>The follow string </p>&#xA;&#xA;<pre><code>x4y3[cgreen, t4[-3,4,a90]]&#xA;</code></pre>&#xA;&#xA;<p>represents setting properties</p>&#xA;&#xA;<blockquote>&#xA;  <p>x-position = 4<br>&#xA;  y-position = 3<br>&#xA;  color = green  </p>&#xA;  &#xA;  <p>test = 4 with x offset -3, y offset 4 and angle 90<br>&#xA;  <code>[ ]</code> = optional (optional list of optional specifiers in no particular order)</p>&#xA;</blockquote>&#xA;&#xA;<p><em>It should be <strong>VERY</strong> self explanatory how I went from the condensed string to the properties it represents. If not stare at the string for a few hours. You should be able to read the string and tell exactly what it means after knowing what the indicator symbols are. (this is no different than what xparse does with it's specification string except mine is a little more complex)</em></p>&#xA;&#xA;<p>Now the hard part, I want to be able to parse that string into a series of macros that set data. </p>&#xA;&#xA;<p>As you can probably guess it, the string represents something to do with placing a graphic at a location.</p>&#xA;&#xA;<p>If you want to have some interpretation for</p>&#xA;&#xA;<pre><code>x4y3[cgreen, t4[-3,4,a90]]&#xA;</code></pre>&#xA;&#xA;<p>to make you feel better: Place a green circle at coordinates(4,3) with a piece of text ""4"" offset (-3,4) from it and rotated 90 degrees.</p>&#xA;&#xA;<p>To do this cleanly and efficiently I would like to create macros that are called for each corresponding macro in the string</p>&#xA;&#xA;<pre><code>\def\x#1{}&#xA;\def\y#1{}&#xA;\def\c#1{}&#xA;\def\t#1#2{}&#xA;</code></pre>&#xA;&#xA;<p>So we could see the string as simply calling <code>\x{-3}\y{4}\c{green}\t{4}{-3,4,a90}</code></p>&#xA;&#xA;<p>So as you can see the string is just a ""condensed"" version of a macro. The string simply is a command value pair with possible optional arguments.</p>&#xA;&#xA;<p>One could almost simply go in and add <code>\'</code>s and brackets to get the command.</p>&#xA;&#xA;<p>For example,</p>&#xA;&#xA;<p>pseudo-code:</p>&#xA;&#xA;<pre><code>parse_string{&#xA;    foreach token in command-list&#xA;        write '\'token'{'next_token'}'    &#xA;}&#xA;</code></pre>&#xA;&#xA;<p>But I would like to add commands/macros that have more than one character (the smallest token size would take precedence) AND do other things like default values.</p>&#xA;&#xA;<p>Anyways, as usual this is relatively straightforward in most procedural programming languages but I'm sure I'll spend the next few weeks trying to figure out how to do it in TeX/LaTeX and then 10k lines of code later I'll probably end up with a buggy as hell version.</p>&#xA;",Stringified commands to macros sequence,2,12,48320.0,11637.0,2012-03-16 20:29:53,<macros><parsing><xparse>,2014-06-21 23:52:42,-1,3203
1,54830,-6,295,"<p>I'll appreciate suggestions for a code that create the following nice visualization of frame-dragging (or anything alike):</p>&#xA;&#xA;<p><img src=""http://i.stack.imgur.com/RmnWS.gif"" alt=""enter image description here""></p>&#xA;",tikz code for frame dragging,1,4,54862.0,1999.0,2012-05-07 19:39:52,<tikz-pgf>,,-1,232
2,3,139,34464,"<p>I have heard rumors that you can compile documents online, and more specifically that Google has a free online compiler, but I have never been able to find any. Is there a way to compile documents online, so that I can write and compile documents even if I don't have a TeX distribution installed on my computer?</p>&#xA;",Compiling documents online,17,3,6.0,14.0,2010-07-26 19:18:48,<compiling><tools><online>,,1,324
3,11,182,26186,"<p>Which book (free or otherwise) was the most useful to you when you started learning LaTeX?</p>&#xA;&#xA;<p>I am frequently asked this question by friends who want to learn LaTeX, and I recommend the book which got me started, <a href=""http://www.ctan.org/tex-archive/info/lshort/english/lshort.pdf"">The Not So Short Introduction to LaTeX2ε</a>, but I feel that there might be better options around.</p>&#xA;&#xA;<p>Also see <a href=""http://tex.stackexchange.com/questions/84384/latex-introductions-in-languages-other-than-english"">LaTeX Introductions in languages other than English</a>.</p>&#xA;",What are good learning resources for a LaTeX beginner?,21,4,,14.0,2010-07-26 19:26:16,<books><big-list><learning><tutorials>,,1,599
4,14,263,32828,"<p>I know what my symbol or character looks like, but I don't know what the command is or which math alphabet it came from. How do I go about finding this out?</p>&#xA;",How to look up a symbol or identify a math symbol or character?,11,2,21.0,39.0,2010-07-26 19:28:46,<symbols>,,1,168
5,15,66,13256,<p>What's the best strategy for spell checking LaTeX documents?</p>&#xA;,Spell checking LaTeX documents,8,1,,55.0,2010-07-26 19:28:47,<tools><spelling><proofreading>,,1,72
6,35,66,22087,"<p>I often see output from TeX with the warning <code>overfull hbox, badness 10000</code>. What does this message mean?</p>&#xA;","What does ""overfull hbox"" mean?",2,5,16439.0,60.0,2010-07-26 19:38:54,<line-breaking><boxes><warnings>,,1,128
7,36,237,36822,"<p>I’m interested in the differences and commonalities between the “new” (La)TeX processors:</p>&#xA;&#xA;<ul>&#xA;<li><a href=""http://www.luatex.org/""><strong>LuaTeX</strong></a>,</li>&#xA;<li><a href=""http://tug.org/xetex/""><strong>XeTeX</strong></a>, and</li>&#xA;<li><a href=""http://wiki.contextgarden.net/Main_Page""><strong>ConTeXt</strong></a>.</li>&#xA;</ul>&#xA;&#xA;<p>Personally, I’ve only used XeTeX so far and without having the time to try out all three systems, I’m having a surprisingly hard time setting them off from one each other.</p>&#xA;&#xA;<p>As I understand it, these systems are actually <em>very</em> different in some regards. So I’m explicitly asking for strengths and weaknesses in every-day use (whatever that is), rather than very special scenarios.</p>&#xA;&#xA;<p>(I’ve already asked a <a href=""http://superuser.com/questions/112818/difference-between-xetex-and-luatex"">similar question</a> on Super User some time ago.)</p>&#xA;","Differences between LuaTeX, ConTeXt and XeTeX",5,7,72.0,42.0,2010-07-26 19:39:09,<xetex><luatex><context>,,1,962
8,42,78,6047,"<p>I would like to have my whole document showing a blank line (or space) between paragraphs and no indentation. I know how to do it line by line, but is there a way to change that with just one or a few lines at the beginning of the document? Like a package you can install, or a new command?</p>&#xA;",Is there an easy way to have my whole document with a space between paragraphs rather than indentation?,5,1,57.0,14.0,2010-07-26 19:42:19,<packages><spacing><indentation><paragraphs><parskip>,,1,302
9,49,71,16442,<p>I know LaTeX and I've heard that LaTeX is a set of macros in TeX.&#xA;But what does it exactly mean?</p>&#xA;,What is the difference between TeX and LaTeX?,5,1,85.0,69.0,2010-07-26 19:46:45,<tex-core><latex-project>,,1,112
